baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
513,-0.01941807941,513,0.57964468,513,0.1109480932,513,-0.004647461697,
512,-0.0193179138,512,0.5573602915,512,0.104380019,512,-0.004785172641,
511,-0.01928260364,511,0.5367974639,511,0.09782801569,511,-0.005039585289,
510,-0.01921445504,510,0.5181178451,510,0.09141547233,510,-0.005145452917,
509,-0.0191840902,509,0.5017232299,509,0.0851617083,509,-0.005308475811,
508,-0.01911552995,508,0.4876589477,508,0.07912130654,508,-0.005386666395,
507,-0.01906816475,507,0.4757981896,507,0.07339736819,507,-0.005512284115,
506,-0.01900736429,506,0.4664248824,506,0.06809815764,506,-0.00561548071,
505,-0.01893381961,505,0.459263891,505,0.06313426048,505,-0.005671848077,
504,-0.01886794344,504,0.45418486,504,0.05853085592,504,-0.005793602671,
503,-0.01884989999,503,0.4510761797,503,0.05432893708,503,-0.005831046961,
502,-0.01878460683,502,0.4498687387,502,0.05055424571,502,-0.005836104043,
501,-0.01871409826,501,0.4503568709,501,0.04721669853,501,-0.005828697234,
500,-0.01868776605,500,0.452344209,500,0.04415151849,500,-0.005853624549,
499,-0.01867998019,499,0.4557366669,499,0.04147565365,499,-0.005758965388,
498,-0.01859005913,498,0.4601116776,498,0.0391385071,498,-0.005696017761,
497,-0.01851550117,497,0.4652332067,497,0.03703775629,497,-0.005612567998,
496,-0.01843452826,496,0.4708654583,496,0.0351889357,496,-0.00549771497,
495,-0.01841239631,495,0.4765802622,495,0.03357288241,495,-0.005339671858,
494,-0.0183770638,494,0.4819837809,494,0.03206235915,494,-0.005191598553,
493,-0.01832713559,493,0.4865828156,493,0.03077606112,493,-0.004982163664,
492,-0.01828549244,492,0.4900805056,492,0.02958732657,492,-0.004716860596,
491,-0.01818471774,491,0.4920701683,491,0.02840509638,491,-0.004478861112,
490,-0.01816098392,490,0.4920838475,490,0.02732122503,490,-0.004190330859,
489,-0.01811842993,489,0.4899676144,489,0.02630305663,489,-0.003973179031,
488,-0.01806633733,488,0.4854044318,488,0.02517879382,488,-0.003585431259,
487,-0.01802034862,487,0.478256464,487,0.02416776307,487,-0.003328418359,
486,-0.01796844229,486,0.4684682786,486,0.02301589586,486,-0.002996552503,
485,-0.01793048903,485,0.456494242,485,0.02190303989,485,-0.002652340569,
484,-0.01782863773,484,0.442067951,484,0.0207344573,484,-0.0023803066,
483,-0.01782719791,483,0.425917238,483,0.01951989159,483,-0.002025145106,
482,-0.01779454947,482,0.4083712995,482,0.01830355637,482,-0.001819023397,
481,-0.01776209846,481,0.3900343478,481,0.01709425263,481,-0.001474237652,
480,-0.01767815091,480,0.3711808026,480,0.01587340422,480,-0.00123455748,
479,-0.01762958616,479,0.3523459435,479,0.01468457561,479,-0.001014631009,
478,-0.0175866317,478,0.3339601159,478,0.01346422639,478,-0.0007985722623,
477,-0.0175902117,477,0.3166354299,477,0.01232092455,477,-0.0006244898541,
476,-0.01753715985,476,0.3001254499,476,0.01124116033,476,-0.0004883488873,
475,-0.01749200933,475,0.2849835455,475,0.01012313645,475,-0.0003103136551,
474,-0.01750508696,474,0.2709586918,474,0.009146780707,474,-0.0001892369619,
473,-0.01746560261,473,0.2584091723,473,0.008246347308,473,-7.878973702E-005,
472,-0.01744924113,472,0.2471875995,472,0.007395485416,472,2.3038574E-006,
471,-0.01742059365,471,0.2371388078,471,0.006580845453,471,0.0001174346253,
470,-0.01737861522,470,0.2283180356,470,0.005864013452,470,0.0002845800191,
469,-0.01735503599,469,0.2205981314,469,0.005234105512,469,0.0005159289576,
468,-0.01730320044,468,0.2138491124,468,0.004648829345,468,0.0006510280073,
467,-0.01732618362,467,0.2080332488,467,0.004137639422,467,0.0009362685378,
466,-0.01728867367,466,0.2029129714,466,0.003636056324,466,0.001240361365,
465,-0.01725155674,465,0.19851017,465,0.003227231326,465,0.00162980624,
464,-0.01729369722,464,0.19465895,464,0.00284661795,464,0.002077469137,
463,-0.01727469265,463,0.1911427975,463,0.002481281525,463,0.00262480625,
462,-0.01725802571,462,0.1877086461,462,0.002240687143,462,0.003181256354,
461,-0.01722792163,461,0.184406355,461,0.00195477088,461,0.003921880387,
460,-0.01725145802,460,0.1809906512,460,0.001739573549,460,0.004681535996,
459,-0.0172484722,459,0.1772560775,459,0.001494999859,459,0.005541695748,
458,-0.01727956906,458,0.1731178761,458,0.001309160842,458,0.006493627094,
457,-0.01722598262,457,0.1684115082,457,0.001111073885,457,0.007477196865,
456,-0.01725295,456,0.163265422,456,0.0009964837227,456,0.008561966941,
455,-0.01723658107,455,0.1574667245,455,0.0008798746276,455,0.0095589431,
454,-0.01727842353,454,0.1511770636,454,0.0007688462501,454,0.01061603799,
453,-0.01726061292,453,0.1443586797,453,0.0007093367749,453,0.01167315897,
